"order_number","more_detail","order_status","grand_total_price","order_date","editId"
"#978785846673","[object Object]","11","120.600","2019-08-22T09:47:25.187Z","undefined"
"#712707211520","[object Object]","2","200.600","2020-08-13T14:35:30.130Z","undefined"
"#148898130759","[object Object]","1","40.000","2020-08-13T14:36:19.789Z","undefined"
"#979930954248","[object Object]","1","20.600","2020-08-13T14:50:52.406Z","undefined"
"#813596046298","[object Object]","2","40.600","2020-08-13T15:04:33.423Z","undefined"
"#784647726271","[object Object]","1","45.000","2020-09-02T14:20:38.628Z","undefined"
"#893866713561","[object Object]","6","25.600","2020-12-16T13:39:45.932Z","undefined"
"#942614439415","[object Object]","6","12.600","2020-12-16T13:41:30.124Z","undefined"
"#348841643466","[object Object]","6","25.600","2020-12-17T13:34:03.944Z","undefined"
"#728699883464","[object Object]","1","6.600","2021-01-01T12:29:23.029Z","undefined"
"#428885604143","[object Object]","1","20.600","2021-01-01T13:30:40.558Z","undefined"
"#764101314525","[object Object]","11","25.600","2021-01-04T10:25:43.186Z","undefined"
"#833089819258","[object Object]","11","20.600","2021-01-04T11:19:30.849Z","undefined"
"#211082390272","[object Object]","11","50.600","2021-01-04T15:37:42.086Z","undefined"
"#785837956271","[object Object]","11","25.600","2021-01-19T06:37:15.923Z","undefined"
"#962988156544","[object Object]","11","40.600","2021-02-05T13:48:28.661Z","undefined"
"#031416932221","[object Object]","1","80.600","2021-02-05T14:01:38.474Z","undefined"
"#821302318109","[object Object]","11","50.600","2021-02-05T17:00:40.549Z","undefined"
"#711540531771","[object Object]","2","80.600","2021-02-05T17:05:12.622Z","undefined"
"#373167820761","[object Object]","1","80.600","2021-02-05T17:07:38.028Z","undefined"
"#027394044930","[object Object]","11","50.600","2021-02-05T17:11:47.224Z","undefined"
"#119542284946","[object Object]","1","1.824","2021-06-30T05:41:57.199Z","undefined"
"#598744917371","[object Object]","1","252.600","2021-07-28T13:46:20.598Z","undefined"
"#745007236912","[object Object]","1","735.600","2021-08-19T13:11:47.897Z","undefined"
"#371913160268","[object Object]","1","378.600","2021-08-20T10:58:02.435Z","undefined"
"#835322483594","[object Object]","1","1113.600","2021-08-20T11:07:27.670Z","undefined"
"#879305014232","[object Object]","1","840.600","2021-09-01T13:57:47.406Z","undefined"
"#173838109457","[object Object]","1","null","2021-09-24T11:50:25.446Z","undefined"
"#862428401924","[object Object]","1","600.0","2021-10-02T04:53:26.482Z","undefined"
"#169540848838","[object Object]","1","1470.6","2021-10-03T12:50:50.561Z","undefined"
"#932842285284","[object Object]","1","840.6","2021-10-04T11:52:51.112Z","undefined"
"#907824204438","[object Object]","1","840.6","2021-10-05T08:12:11.130Z","undefined"
"#841405490639","[object Object]","1","1050.6","2021-10-08T09:52:33.647Z","undefined"
"#830356576066","[object Object]","1","920.0","2021-10-08T10:25:11.385Z","undefined"
"#788484831938","[object Object]","2","126.6","2021-10-08T10:26:58.764Z","undefined"
"#853701320154","[object Object]","1","158.1","2021-10-08T11:10:56.900Z","undefined"
"#122332358813","[object Object]","1","1050.6","2021-10-11T05:57:58.619Z","undefined"
"#656878673994","[object Object]","1","800.0","2021-10-11T11:10:17.661Z","undefined"
"#145871842582","[object Object]","1","1750.0","2021-10-13T07:01:11.197Z","undefined"
"#550213360468","[object Object]","1","1400.0","2021-10-13T07:02:13.106Z","undefined"
"#418846898215","[object Object]","1","1400.0","2021-10-13T07:02:32.602Z","undefined"
"#071363640195","[object Object]","1","504.6","2021-10-13T09:00:49.088Z","undefined"
"#431755635577","[object Object]","1","630.6","2021-10-13T09:01:11.093Z","undefined"
"#720315580335","[object Object]","1","1155.6","2021-10-17T18:26:32.974Z","undefined"
"#755785996702","[object Object]","1","462.6","2021-10-17T18:27:07.806Z","undefined"
"#206408208133","[object Object]","1","240.0","2021-10-17T18:28:02.350Z","undefined"
"#598642508330","[object Object]","1","360.0","2021-10-17T18:28:39.543Z","undefined"
"#900185161313","[object Object]","1","800.0","2021-10-17T18:28:58.819Z","undefined"
"#440625605629","[object Object]","1","240.0","2021-10-17T18:29:14.745Z","undefined"
"#703480332419","[object Object]","1","378.6","2021-10-17T18:29:53.445Z","undefined"
"#924865448691","[object Object]","1","252.6","2021-10-17T18:30:33.278Z","undefined"
"#412810273075","[object Object]","1","840.6","2021-10-17T18:30:52.923Z","undefined"
"#650089872347","[object Object]","1","840.6","2021-10-19T06:49:58.969Z","undefined"
"#063429012394","[object Object]","1","1400.0","2021-10-19T06:53:06.578Z","undefined"
"#228822794415","[object Object]","1","840.6","2021-10-19T13:35:42.178Z","undefined"
"#896564736198","[object Object]","1","1890.6","2021-10-20T06:10:11.634Z","undefined"
"#451350140419","[object Object]","1","760.6","2021-10-20T06:31:40.007Z","undefined"
"#860516946628","[object Object]","1","840.6","2021-10-20T06:48:01.190Z","undefined"
"#864393997225","[object Object]","1","1470.6","2021-10-20T06:51:06.473Z","undefined"
"#789368028419","[object Object]","1","1838.1","2021-10-20T06:54:15.338Z","undefined"
"#523022913306","[object Object]","1","840.6","2021-10-20T13:26:07.828Z","undefined"
"#722800980764","[object Object]","1","700.0","2021-10-20T13:28:44.875Z","undefined"
"#406298787176","[object Object]","1","1400.0","2021-10-20T13:46:10.730Z","undefined"
"#056538014137","[object Object]","1","252.6","2021-10-21T11:34:50.668Z","undefined"
"#560852874414","[object Object]","1","486.6","2021-10-21T11:38:46.042Z","undefined"
"#468216083864","[object Object]","1","820.6","2021-10-22T05:58:45.695Z","undefined"
"#736923819741","[object Object]","1","800.0","2021-10-22T06:54:47.344Z","undefined"
"#727495864033","[object Object]","1","800.0","2021-10-22T07:13:19.674Z","undefined"
"#605604755435","[object Object]","1","7193.1","2021-10-22T07:14:29.923Z","undefined"
"#401335298337","[object Object]","1","3800.0","2021-10-22T07:28:14.809Z","undefined"
"#537545769060","[object Object]","1","800.0","2021-10-22T09:34:47.156Z","undefined"
"#103302462868","[object Object]","1","1943.1","2021-10-22T12:32:00.124Z","undefined"
"#321352797336","[object Object]","1","788.1","2021-10-22T12:36:28.891Z","undefined"
"#686174799789","[object Object]","1","905.0","2021-11-09T08:10:59.772Z","undefined"
"#726595226382","[object Object]","1","845.0","2021-11-09T09:36:14.969Z","undefined"
"#371227025686","[object Object]","1","845.0","2021-11-15T05:29:59.535Z","undefined"
"#176777368299","[object Object]","1","905.0","2021-11-15T05:32:52.909Z","undefined"
"#689472454446","[object Object]","1","1565.0","2021-11-15T05:58:16.791Z","undefined"
"#535758941202","[object Object]","1","1565.0","2021-11-15T06:19:24.250Z","undefined"
"#819224850563","[object Object]","1","685.0","2021-11-15T10:10:50.596Z","undefined"
"#943238524749","[object Object]","1","289.0","2021-11-15T10:18:12.333Z","undefined"
"#738778804281","[object Object]","1","1125.0","2021-11-15T10:25:29.220Z","undefined"
"#479085709588","[object Object]","1","92.1","2021-11-19T11:04:36.835Z","undefined"
"#099487843742","[object Object]","1","NaN","2021-11-19T19:09:33.641Z","undefined"
"#382333962423","[object Object]","1","58.0","2021-11-22T15:30:17.870Z","undefined"
"#835888733440","[object Object]","1","85.0","2021-11-23T03:08:56.264Z","undefined"
